genbank_accession,file,path,IG_TR_gene_Coverage,IG_TR_gene_Percent_id,IG_TR_gene_Problematic,IG_TR_gene_mapped,IG_TR_gene_percentage,IG_TR_gene_total,IG_TR_pseudogene_Coverage,IG_TR_pseudogene_Percent_id,IG_TR_pseudogene_Problematic,IG_TR_pseudogene_mapped,IG_TR_pseudogene_percentage,IG_TR_pseudogene_total,TEC_Coverage,TEC_Percent_id,TEC_Problematic,TEC_mapped,TEC_percentage,TEC_total,artifact_Coverage,artifact_Percent_id,artifact_Problematic,artifact_mapped,artifact_percentage,artifact_total,lncRNA_Coverage,lncRNA_Percent_id,lncRNA_Problematic,lncRNA_mapped,lncRNA_percentage,lncRNA_total,miRNA_Coverage,miRNA_Percent_id,miRNA_Problematic,miRNA_mapped,miRNA_percentage,miRNA_total,misc_RNA_Coverage,misc_RNA_Percent_id,misc_RNA_Problematic,misc_RNA_mapped,misc_RNA_percentage,misc_RNA_total,non_stop_decay_Coverage,non_stop_decay_Percent_id,non_stop_decay_Problematic,non_stop_decay_mapped,non_stop_decay_percentage,non_stop_decay_total,nonsense_mediated_decay_Coverage,nonsense_mediated_decay_Percent_id,nonsense_mediated_decay_Problematic,nonsense_mediated_decay_mapped,nonsense_mediated_decay_percentage,nonsense_mediated_decay_total,processed_pseudogene_Coverage,processed_pseudogene_Percent_id,processed_pseudogene_Problematic,processed_pseudogene_mapped,processed_pseudogene_percentage,processed_pseudogene_total,processed_transcript_Coverage,processed_transcript_Percent_id,processed_transcript_Problematic,processed_transcript_mapped,processed_transcript_percentage,processed_transcript_total,protein_coding_CDS_not_defined_Coverage,protein_coding_CDS_not_defined_Percent_id,protein_coding_CDS_not_defined_Problematic,protein_coding_CDS_not_defined_mapped,protein_coding_CDS_not_defined_percentage,protein_coding_CDS_not_defined_total,protein_coding_Coverage,protein_coding_LoF_Coverage,protein_coding_LoF_Percent_id,protein_coding_LoF_Problematic,protein_coding_LoF_mapped,protein_coding_LoF_percentage,protein_coding_LoF_total,protein_coding_Percent_id,protein_coding_Problematic,protein_coding_mapped,protein_coding_percentage,protein_coding_total,pseudogene_Coverage,pseudogene_Percent_id,pseudogene_Problematic,pseudogene_mapped,pseudogene_percentage,pseudogene_total,rRNA_Coverage,rRNA_Percent_id,rRNA_Problematic,rRNA_mapped,rRNA_percentage,rRNA_pseudogene_Coverage,rRNA_pseudogene_Percent_id,rRNA_pseudogene_Problematic,rRNA_pseudogene_mapped,rRNA_pseudogene_percentage,rRNA_pseudogene_total,rRNA_total,retained_intron_Coverage,retained_intron_Percent_id,retained_intron_Problematic,retained_intron_mapped,retained_intron_percentage,retained_intron_total,ribozyme_Coverage,ribozyme_Percent_id,ribozyme_Problematic,ribozyme_mapped,ribozyme_percentage,ribozyme_total,sRNA_Coverage,sRNA_Percent_id,sRNA_Problematic,sRNA_mapped,sRNA_percentage,sRNA_total,scRNA_Coverage,scRNA_Percent_id,scRNA_Problematic,scRNA_mapped,scRNA_percentage,scRNA_total,scaRNA_Coverage,scaRNA_Percent_id,scaRNA_Problematic,scaRNA_mapped,scaRNA_percentage,scaRNA_total,snRNA_Coverage,snRNA_Percent_id,snRNA_Problematic,snRNA_mapped,snRNA_percentage,snRNA_total,snoRNA_Coverage,snoRNA_Percent_id,snoRNA_Problematic,snoRNA_mapped,snoRNA_percentage,snoRNA_total,unitary_pseudogene_Coverage,unitary_pseudogene_Percent_id,unitary_pseudogene_Problematic,unitary_pseudogene_mapped,unitary_pseudogene_percentage,unitary_pseudogene_total,unprocessed_pseudogene_Coverage,unprocessed_pseudogene_Percent_id,unprocessed_pseudogene_Problematic,unprocessed_pseudogene_mapped,unprocessed_pseudogene_percentage,unprocessed_pseudogene_total,vault_RNA_Coverage,vault_RNA_Percent_id,vault_RNA_Problematic,vault_RNA_mapped,vault_RNA_percentage,vault_RNA_total
GCA_42032625.1,GCA_042032625.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042032625.1/GCA_042032625.1_mapping_stats.mapping_stats.txt,99.38,98.31,16,395,94.05,420,99.77,99.72,2,234,98.73,237,99.95,99.88,0,1089,99.82,1091,100,99.93,0,7,36.84,19,99.9,99.87,391,180358,98.13,183790,99.98,99.93,1,1754,99.6,1761,99.98,99.9,0,2101,99.24,2117,100,99.93,0,103,99.04,104,99.94,99.94,16,20509,99.79,20552,99.94,99.87,11,9852,99.16,9935,100,99.86,0,5,100,5,99.98,99.94,8,25499,99.8,25550,99.97,99.9,99.84,0,73,100,73,99.94,55,85729,99.77,85925,99.86,99.78,0,4,100,4,100,99.95,0,49,96.08,99.97,99.86,1,476,99.79,477,51,99.95,99.93,19,33108,99.8,33175,100,99.91,0,8,100,8,98.39,97.46,1,5,100,5,99.5,99.5,0,1,100,1,100,99.95,0,48,100,48,99.93,99.89,2,1804,98.8,1826,99.95,99.81,2,893,99.67,896,99.9,99.87,1,250,100,250,99.7,99.75,21,3346,97.92,3417,100,100,0,4,100,4
GCA_42034285.1,GCA_042034285.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042034285.1_mapping_stats.mapping_stats.txt,99.92,99.76,4,392,93.33,420,99.76,99.35,2,229,96.62,237,99.92,99.88,1,1088,99.73,1091,100,99.93,0,7,36.84,19,99.79,99.77,838,181846,98.94,183790,99.99,99.92,1,1748,99.26,1761,99.98,99.9,0,2102,99.29,2117,100,99.95,0,104,100,104,99.95,99.95,15,20511,99.8,20552,99.93,99.87,8,9882,99.47,9935,100,99.77,0,5,100,5,99.97,99.93,18,25520,99.88,25550,99.96,99.97,99.81,0,73,100,73,99.94,60,85749,99.8,85925,100,99.77,0,4,100,4,100,98.76,1,51,100,99.8,99.89,1,475,99.58,477,51,99.95,99.93,24,33122,99.84,33175,100,99.91,0,8,100,8,100,99.87,0,5,100,5,99.5,99.5,0,1,100,1,100,99.96,0,48,100,48,99.93,99.89,2,1805,98.85,1826,99.93,99.82,2,895,99.89,896,99.97,99.89,0,250,100,250,99.67,99.7,25,3344,97.86,3417,100,100,0,4,100,4
GCA_42034305.1,GCA_042034305.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042034305.1_mapping_stats.mapping_stats.txt,99.98,99.84,1,347,82.62,420,99.99,99.84,0,204,86.08,237,99.91,99.88,1,1105,99.82,1107,100,99.97,0,7,36.84,19,99.83,99.82,679,184738,98.75,187074,99.98,99.93,2,1867,99.47,1877,99.98,99.9,0,2196,99.41,2209,100,99.95,0,102,100,102,99.98,99.94,18,21072,99.74,21126,99.94,99.87,10,10452,99.47,10508,99.98,99.8,0,5,100,5,99.97,99.94,15,26278,99.85,26318,99.97,99.96,99.88,0,74,100,74,99.94,66,88909,99.81,89075,100,99.82,0,2,50,4,100,99.74,0,51,96.23,99.81,99.89,1,488,99.8,489,53,99.97,99.94,16,33973,99.84,34029,100,99.95,0,8,100,8,100,100,0,5,100,5,99.5,99.5,0,1,100,1,100,99.94,0,49,100,49,99.93,99.91,2,1881,99.37,1893,99.97,99.88,1,939,100,939,99.97,99.89,0,259,100,259,99.69,99.75,17,3233,97.59,3313,100,100,0,4,100,4
GCA_42034315.1,GCA_042034315.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042034315.1/GCA_042034315.1_mapping_stats.mapping_stats.txt,99.69,99.66,4,393,93.57,420,99.87,99.36,2,232,97.89,237,99.93,99.87,1,1087,99.63,1091,100,99.95,0,7,36.84,19,99.85,99.85,645,181645,98.83,183790,99.99,99.91,1,1752,99.49,1761,99.94,99.88,1,2104,99.39,2117,100,99.94,0,104,100,104,99.98,99.94,15,20515,99.82,20552,99.94,99.87,10,9874,99.39,9935,100,99.89,0,5,100,5,99.98,99.93,13,25516,99.87,25550,99.96,99.97,99.87,0,73,100,73,99.93,93,85752,99.8,85925,100,99.8,0,4,100,4,100,99.89,0,50,98.04,99.99,99.92,0,476,99.79,477,51,99.98,99.93,12,33121,99.84,33175,100,99.95,0,8,100,8,100,100,0,5,100,5,100,99.5,0,1,100,1,100,99.94,0,48,100,48,99.93,99.9,2,1804,98.8,1826,99.94,99.82,2,894,99.78,896,99.97,99.88,0,250,100,250,99.69,99.72,21,3330,97.45,3417,100,99.72,0,4,100,4
GCA_42034215.1,GCA_042034215.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042034215.1/GCA_042034215.1_mapping_stats.mapping_stats.txt,99.95,99.73,3,371,88.33,420,99.73,99.25,2,232,97.89,237,99.89,99.86,2,1088,99.73,1091,100,99.91,0,7,36.84,19,99.78,99.8,1082,180451,98.18,183790,99.97,99.91,2,1743,98.98,1761,99.91,99.85,2,2106,99.48,2117,99.98,99.94,0,104,100,104,99.97,99.93,17,20509,99.79,20552,99.88,99.83,17,9880,99.45,9935,100,99.83,0,5,100,5,99.97,99.93,15,25505,99.82,25550,99.95,99.96,99.72,1,73,100,73,99.92,99,85693,99.73,85925,100,99.68,0,3,75,4,99.97,98.73,1,50,98.04,99.81,99.87,1,477,100,477,51,99.94,99.92,29,33102,99.78,33175,100,99.95,0,8,100,8,99.73,98.92,1,5,100,5,100,99.5,0,1,100,1,100,99.94,0,48,100,48,99.94,99.85,2,1803,98.74,1826,99.98,99.85,1,895,99.89,896,99.9,99.85,1,249,99.6,250,99.82,99.74,21,3342,97.81,3417,100,100,0,4,100,4
GCA_42034325.1,GCA_042034325.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042034325.1/GCA_042034325.1_mapping_stats.mapping_stats.txt,99.83,99.53,3,378,90,420,99.99,99.78,0,221,93.25,237,99.9,99.87,2,1088,99.73,1091,100,99.93,0,7,36.84,19,99.79,99.8,733,181354,98.67,183790,99.98,99.92,2,1749,99.32,1761,99.89,99.87,3,2102,99.29,2117,100,99.94,0,104,100,104,99.94,99.94,16,20518,99.83,20552,99.94,99.87,10,9878,99.43,9935,100,99.88,0,5,100,5,99.98,99.94,15,25528,99.91,25550,99.96,99.92,99.73,1,73,100,73,99.93,85,85784,99.84,85925,99.86,99.67,0,4,100,4,99.97,99.81,0,49,96.08,99.83,99.89,1,477,100,477,51,99.94,99.93,33,33131,99.87,33175,100,99.95,0,8,100,8,100,100,0,5,100,5,99.5,99.5,0,1,100,1,100,99.93,0,47,97.92,48,99.93,99.89,2,1803,98.74,1826,99.94,99.82,2,894,99.78,896,99.75,99.88,1,249,99.6,250,99.73,99.73,20,3345,97.89,3417,100,99.72,0,4,100,4
GCA_42034345.1,GCA_042034345.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042034345.1/GCA_042034345.1_mapping_stats.mapping_stats.txt,99.98,99.77,3,371,88.33,420,99.97,99.83,0,231,97.47,237,99.88,99.88,2,1106,99.91,1107,100,99.96,0,7,36.84,19,99.76,99.81,950,184580,98.67,187074,99.98,99.91,1,1867,99.47,1877,99.9,99.86,4,2197,99.46,2209,99.99,99.95,0,102,100,102,99.95,99.95,15,21087,99.82,21126,99.94,99.87,14,10442,99.37,10508,100,99.81,0,5,100,5,99.97,99.94,14,26292,99.9,26318,99.96,99.97,99.81,0,71,95.95,74,99.94,66,88899,99.8,89075,100,99.7,0,4,100,4,99.97,99.82,0,51,96.23,99.98,99.89,0,488,99.8,489,53,99.95,99.93,30,33975,99.84,34029,100,99.95,0,8,100,8,100,100,0,5,100,5,98.01,98.98,0,1,100,1,100,99.94,0,49,100,49,99.93,99.9,2,1872,98.89,1893,99.97,99.88,1,935,99.57,939,99.76,99.87,1,258,99.61,259,99.72,99.74,20,3234,97.62,3313,100,100,0,4,100,4
GCA_42034335.1,GCA_042034335.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042034335.1/GCA_042034335.1_mapping_stats.mapping_stats.txt,99.97,99.83,1,363,86.43,420,99.87,99.4,2,221,93.25,237,99.91,99.88,2,1105,99.82,1107,100,99.93,0,7,36.84,19,99.86,99.85,576,183816,98.26,187074,99.99,99.92,1,1861,99.15,1877,99.89,99.85,3,2199,99.55,2209,100,99.93,0,102,100,102,99.94,99.95,16,21091,99.83,21126,99.94,99.88,9,10455,99.5,10508,100,99.8,0,5,100,5,99.98,99.94,11,26286,99.88,26318,99.96,99.97,99.74,1,73,98.65,74,99.93,72,88897,99.8,89075,100,99.79,0,4,100,4,99.97,99.78,0,52,98.11,99.97,99.89,1,487,99.59,489,53,99.95,99.93,24,33962,99.8,34029,100,99.91,0,8,100,8,100,100,0,5,100,5,98.49,98.98,0,1,100,1,100,99.96,0,49,100,49,99.92,99.89,3,1876,99.1,1893,99.95,99.83,2,938,99.89,939,99.94,99.86,1,259,100,259,99.67,99.72,25,3235,97.65,3313,100,99.72,0,4,100,4
GCA_42035275.1,GCA_042035275.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042035275.1/GCA_042035275.1_mapping_stats.mapping_stats.txt,99.98,99.78,2,360,85.71,420,99.86,99.31,2,224,94.51,237,99.93,99.87,1,1102,99.55,1107,100,99.92,0,7,36.84,19,99.77,99.74,1033,183969,98.34,187074,99.98,99.91,1,1865,99.36,1877,99.95,99.89,1,2193,99.28,2209,99.99,99.92,0,102,100,102,99.97,99.93,23,21072,99.74,21126,99.95,99.84,12,10447,99.42,10508,99.98,99.79,0,5,100,5,99.97,99.93,16,26278,99.85,26318,99.96,99.72,99.72,1,73,98.65,74,99.92,100,88861,99.76,89075,100,99.87,0,4,100,4,100,99.84,0,51,96.23,99.83,99.89,1,487,99.59,489,53,99.94,99.91,32,33948,99.76,34029,100,99.85,0,8,100,8,99.73,100,0,5,100,5,98.49,98.98,0,1,100,1,100,99.91,0,49,100,49,99.92,99.82,3,1878,99.21,1893,99.95,99.8,2,937,99.79,939,99.75,99.86,1,257,99.23,259,99.61,99.68,26,3214,97.01,3313,100,100,0,4,100,4
GCA_42035195.1,GCA_042035195.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042035195.1/GCA_042035195.1_mapping_stats.mapping_stats.txt,99.96,99.75,2,362,86.19,420,99.96,99.79,0,225,94.94,237,99.93,99.86,1,1101,99.46,1107,99.99,99.95,0,7,36.84,19,99.82,99.83,880,184483,98.61,187074,99.98,99.91,1,1867,99.47,1877,99.98,99.88,1,2198,99.5,2209,100,99.92,0,102,100,102,99.96,99.93,24,21086,99.81,21126,99.96,99.85,7,10431,99.27,10508,100,99.8,0,5,100,5,99.97,99.93,13,26257,99.77,26318,99.95,99.98,99.85,0,73,98.65,74,99.92,90,88900,99.8,89075,100,99.87,0,4,100,4,100,99.84,0,50,94.34,99.94,99.84,1,486,99.39,489,53,99.92,99.9,46,33969,99.82,34029,100,99.92,0,8,100,8,100,100,0,5,100,5,98.5,98.98,0,1,100,1,100,99.94,0,49,100,49,99.92,99.85,3,1880,99.31,1893,99.95,99.82,2,937,99.79,939,99.69,99.88,2,258,99.61,259,99.65,99.67,24,3244,97.92,3313,100,100,0,4,100,4
GCA_42035185.1,GCA_042035185.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042035185.1/GCA_042035185.1_mapping_stats.mapping_stats.txt,99.65,99.62,4,362,86.19,420,99.97,99.77,0,224,94.51,237,99.87,99.86,3,1103,99.64,1107,100,99.92,0,7,36.84,19,99.82,99.81,887,184646,98.7,187074,99.95,99.9,2,1866,99.41,1877,99.93,99.86,2,2203,99.73,2209,99.98,99.92,0,102,100,102,99.97,99.93,20,21066,99.72,21126,99.95,99.85,11,10441,99.36,10508,100,99.81,0,5,100,5,99.97,99.92,15,26274,99.83,26318,99.96,99.96,99.79,0,74,100,74,99.93,75,88896,99.8,89075,100,99.62,0,4,100,4,99.93,99.78,0,53,100,99.81,99.88,1,489,100,489,53,99.94,99.91,34,33961,99.8,34029,100,99.87,0,8,100,8,100,100,0,5,100,5,98.5,98.48,0,1,100,1,100,99.95,0,49,100,49,99.94,99.87,2,1879,99.26,1893,99.94,99.82,2,934,99.47,939,99.97,99.86,0,259,100,259,99.76,99.72,23,3227,97.4,3313,100,99.72,0,4,100,4
GCA_42035225.1,GCA_042035225.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042035225.1/GCA_042035225.1_mapping_stats.mapping_stats.txt,99.98,99.79,1,362,86.19,420,99.72,99.22,3,221,93.25,237,99.94,99.86,0,1103,99.64,1107,100,99.97,0,7,36.84,19,99.83,99.82,744,184810,98.79,187074,99.99,99.9,3,1865,99.36,1877,99.88,99.85,3,2193,99.28,2209,100,99.94,0,101,99.02,102,99.97,99.93,25,21074,99.75,21126,99.93,99.85,11,10439,99.34,10508,100,99.91,0,5,100,5,99.97,99.93,14,26261,99.78,26318,99.96,99.97,99.81,0,74,100,74,99.92,96,88818,99.71,89075,99.86,99.65,0,4,100,4,100,99.86,0,51,96.23,99.8,99.85,1,488,99.8,489,53,99.97,99.92,18,33955,99.78,34029,100,99.86,0,8,100,8,100,99.87,0,5,100,5,98.01,98.98,0,1,100,1,100,99.94,0,48,97.96,49,99.91,99.86,3,1875,99.05,1893,99.97,99.86,1,937,99.79,939,99.97,99.87,0,258,99.61,259,99.73,99.75,19,3225,97.34,3313,100,100,0,4,100,4
GCA_18472595.2,GCA_018472595.2_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_018472595.2/GCA_018472595.2_mapping_stats.mapping_stats.txt,99.99,99.8,2,382,90.95,420,99.86,99.39,2,225,94.94,237,99.9,99.88,2,1102,99.55,1107,100,99.93,0,7,36.84,19,99.9,99.85,438,184566,98.66,187074,99.98,99.92,3,1873,99.79,1877,99.97,99.9,1,2197,99.46,2209,100,99.94,0,102,100,102,99.93,99.94,25,21078,99.77,21126,99.93,99.87,14,10460,99.54,10508,100,99.88,0,5,100,5,99.98,99.94,9,26280,99.86,26318,99.96,99.97,99.81,0,74,100,74,99.93,75,88886,99.79,89075,100,99.77,0,4,100,4,100,99.89,0,53,100,99.97,99.89,1,487,99.59,489,53,99.94,99.92,39,33978,99.85,34029,100,99.92,0,8,100,8,100,100,0,5,100,5,97,98.97,0,1,100,1,100,99.95,0,49,100,49,99.93,99.9,3,1873,98.94,1893,99.97,99.89,1,939,100,939,99.9,99.88,1,259,100,259,99.71,99.74,20,3240,97.8,3313,100,100,0,4,100,4
GCA_42037725.1,GCA_042037725.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042037725.1/GCA_042037725.1_mapping_stats.mapping_stats.txt,99.76,99.75,5,381,90.71,420,99.75,99.36,2,227,95.78,237,99.83,99.87,3,1104,99.73,1107,100,99.98,0,7,36.84,19,99.85,99.85,705,184901,98.84,187074,99.99,99.92,2,1870,99.63,1877,99.91,99.86,4,2200,99.59,2209,100,99.95,0,102,100,102,99.95,99.95,21,21082,99.79,21126,99.95,99.87,11,10459,99.53,10508,100,99.89,0,5,100,5,99.98,99.94,11,26289,99.89,26318,99.96,99.96,99.86,0,74,100,74,99.94,87,88906,99.81,89075,100,99.78,0,4,100,4,100,99.85,0,50,94.34,99.83,99.9,1,488,99.8,489,53,99.97,99.94,23,33977,99.85,34029,100,99.87,0,8,100,8,100,100,0,5,100,5,100,99.5,0,1,100,1,100,99.93,0,48,97.96,49,99.94,99.9,2,1872,98.89,1893,99.95,99.82,2,936,99.68,939,99.9,99.87,1,259,100,259,99.76,99.77,19,3236,97.68,3313,100,100,0,4,100,4
GCA_42037765.1,GCA_042037765.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042037765.1/GCA_042037765.1_mapping_stats.mapping_stats.txt,99.93,99.72,3,407,96.9,420,99.86,99.37,2,231,97.47,237,99.94,99.88,1,1104,99.73,1107,100,99.93,0,7,36.84,19,99.89,99.85,434,183964,98.34,187074,99.97,99.92,2,1863,99.25,1877,99.98,99.9,1,2198,99.5,2209,100,99.95,0,102,100,102,99.97,99.94,26,21087,99.82,21126,99.94,99.88,11,10448,99.43,10508,100,99.81,0,5,100,5,99.98,99.94,14,26290,99.89,26318,99.96,99.92,99.86,0,74,100,74,99.93,83,88897,99.8,89075,99.86,99.67,0,4,100,4,100,99.86,0,52,98.11,99.81,99.88,1,488,99.8,489,53,99.96,99.92,31,33957,99.79,34029,100,99.86,0,8,100,8,100,99.87,0,5,100,5,99.5,99.5,0,1,100,1,100,99.96,0,48,97.96,49,99.92,99.9,3,1869,98.73,1893,99.94,99.84,2,938,99.89,939,99.74,99.9,1,258,99.61,259,99.83,99.75,11,3208,96.83,3313,100,99.72,0,4,100,4
GCA_42037975.1,GCA_042037975.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042037975.1/GCA_042037975.1_mapping_stats.mapping_stats.txt,99.98,99.82,1,393,93.57,420,99.88,99.34,2,231,97.47,237,99.88,99.87,3,1089,99.82,1091,100,99.98,0,7,36.84,19,99.81,99.84,868,181846,98.94,183790,99.96,99.9,2,1748,99.26,1761,99.91,99.86,2,2101,99.24,2117,100,99.95,0,104,100,104,99.98,99.94,14,20519,99.84,20552,99.93,99.87,11,9885,99.5,9935,100,99.81,0,5,100,5,99.98,99.94,9,25521,99.89,25550,99.96,99.9,99.79,0,73,100,73,99.93,75,85732,99.78,85925,100,99.85,0,4,100,4,100,99.89,0,48,94.12,99.83,99.89,1,475,99.58,477,51,99.94,99.93,33,33116,99.82,33175,100,99.71,0,8,100,8,100,100,0,5,100,5,100,100,0,1,100,1,100,99.94,0,48,100,48,99.93,99.9,2,1804,98.8,1826,99.94,99.83,2,891,99.44,896,99.9,99.86,1,250,100,250,99.71,99.73,26,3334,97.57,3417,100,100,0,4,100,4
GCA_18472585.2,GCA_018472585.2_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_018472585.2/GCA_018472585.2_mapping_stats.mapping_stats.txt,99.99,99.84,1,379,90.24,420,99.97,99.85,0,229,96.62,237,99.88,99.87,2,1088,99.73,1091,100,99.94,0,7,36.84,19,99.84,99.86,645,180947,98.45,183790,99.95,99.91,2,1749,99.32,1761,99.84,99.85,4,2099,99.15,2117,99.99,99.93,0,104,100,104,99.95,99.95,16,20508,99.79,20552,99.94,99.88,9,9876,99.41,9935,100,99.83,0,5,100,5,99.97,99.93,10,25481,99.73,25550,99.97,99.97,99.68,1,73,100,73,99.94,50,85686,99.72,85925,100,99.8,0,4,100,4,99.51,98.88,1,50,98.04,99.99,99.89,0,475,99.58,477,51,99.94,99.93,35,33131,99.87,33175,100,99.95,0,8,100,8,100,100,0,5,100,5,99.5,99.5,0,1,100,1,100,99.94,0,48,100,48,99.93,99.89,2,1806,98.9,1826,99.98,99.88,1,892,99.55,896,99.88,99.87,1,250,100,250,99.64,99.69,23,3323,97.25,3417,100,100,0,4,100,4
GCA_18472725.2,GCA_018472725.2_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_018472725.2/GCA_018472725.2_mapping_stats.mapping_stats.txt,99.84,99.6,6,396,94.29,420,99.96,99.83,0,234,98.73,237,99.89,99.87,3,1103,99.64,1107,100,99.91,0,7,36.84,19,99.84,99.85,733,184684,98.72,187074,99.97,99.92,3,1867,99.47,1877,99.94,99.9,1,2186,98.96,2209,100,99.94,0,102,100,102,99.95,99.95,18,21094,99.85,21126,99.92,99.87,13,10456,99.51,10508,100,99.82,0,5,100,5,99.98,99.94,12,26293,99.91,26318,99.96,99.81,99.87,1,71,95.95,74,99.94,72,88880,99.78,89075,99.97,99.9,0,4,100,4,100,99.83,0,52,98.11,99.98,99.89,0,488,99.8,489,53,99.97,99.94,24,33977,99.85,34029,100,99.79,0,8,100,8,98.93,97.46,1,5,100,5,98.5,98.48,0,1,100,1,100,99.97,0,47,95.92,49,99.94,99.9,2,1879,99.26,1893,99.95,99.83,2,935,99.57,939,99.69,99.88,2,258,99.61,259,99.79,99.8,20,3212,96.95,3313,100,100,0,4,100,4
GCA_42037995.1,GCA_042037995.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042037995.1_mapping_stats.mapping_stats.txt,99.95,99.75,4,360,85.71,420,99.74,99.22,3,209,88.19,237,99.93,99.88,1,1087,99.63,1091,100,99.9,0,7,36.84,19,99.84,99.86,717,181547,98.78,183790,99.98,99.92,1,1748,99.26,1761,99.95,99.9,2,2102,99.29,2117,100,99.93,0,104,100,104,99.98,99.94,8,20518,99.83,20552,99.94,99.88,12,9868,99.33,9935,99.98,99.82,0,5,100,5,99.98,99.94,15,25523,99.89,25550,99.97,99.98,99.8,0,73,100,73,99.94,58,85750,99.8,85925,99.86,99.76,0,4,100,4,99.97,98.72,1,50,98.04,99.94,99.86,1,476,99.79,477,51,99.97,99.94,21,33129,99.86,33175,100,99.95,0,8,100,8,99.6,100,0,5,100,5,99.5,99.5,0,1,100,1,100,99.95,0,46,95.83,48,99.94,99.9,1,1806,98.9,1826,99.94,99.83,2,893,99.67,896,99.69,99.89,2,249,99.6,250,99.77,99.76,14,3339,97.72,3417,100,100,0,4,100,4
GCA_42037825.1,GCA_042037825.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042037825.1_mapping_stats.mapping_stats.txt,99.78,99.62,5,373,88.81,420,99.99,99.83,0,211,89.03,237,99.92,99.88,1,1106,99.91,1107,100,99.91,0,7,36.84,19,99.85,99.85,702,184209,98.47,187074,99.95,99.91,3,1865,99.36,1877,99.99,99.9,1,2197,99.46,2209,100,99.94,0,102,100,102,99.98,99.94,7,21057,99.67,21126,99.94,99.88,11,10435,99.31,10508,100,99.69,0,5,100,5,99.98,99.94,10,26278,99.85,26318,99.97,99.91,99.84,0,74,100,74,99.94,49,88864,99.76,89075,100,99.62,0,4,100,4,100,99.84,0,52,98.11,99.96,99.9,0,488,99.8,489,53,99.96,99.93,22,33966,99.81,34029,100,99.92,0,8,100,8,99.47,99.86,0,5,100,5,98.49,98.98,0,1,100,1,100,99.97,0,49,100,49,99.93,99.9,2,1866,98.57,1893,99.93,99.83,2,939,100,939,99.95,99.88,0,259,100,259,99.61,99.72,25,3215,97.04,3313,100,100,0,4,100,4
