genbank_accession,file,path,IG_TR_gene_mapped,IG_TR_gene_percentage,IG_TR_gene_total,IG_TR_pseudogene_mapped,IG_TR_pseudogene_percentage,IG_TR_pseudogene_total,TEC_mapped,TEC_percentage,TEC_total,artifact_mapped,artifact_percentage,artifact_total,lncRNA_mapped,lncRNA_percentage,lncRNA_total,miRNA_mapped,miRNA_percentage,miRNA_total,misc_RNA_mapped,misc_RNA_percentage,misc_RNA_total,processed_pseudogene_mapped,processed_pseudogene_percentage,processed_pseudogene_total,protein_coding_mapped,protein_coding_percentage,protein_coding_total,pseudogene_mapped,pseudogene_percentage,pseudogene_total,rRNA_mapped,rRNA_percentage,rRNA_pseudogene_mapped,rRNA_pseudogene_percentage,rRNA_pseudogene_total,rRNA_total,ribozyme_mapped,ribozyme_percentage,ribozyme_total,sRNA_mapped,sRNA_percentage,sRNA_total,scRNA_mapped,scRNA_percentage,scRNA_total,scaRNA_mapped,scaRNA_percentage,scaRNA_total,snRNA_mapped,snRNA_percentage,snRNA_total,snoRNA_mapped,snoRNA_percentage,snoRNA_total,unitary_pseudogene_mapped,unitary_pseudogene_percentage,unitary_pseudogene_total,unprocessed_pseudogene_mapped,unprocessed_pseudogene_percentage,unprocessed_pseudogene_total,vault_RNA_mapped,vault_RNA_percentage,vault_RNA_total
GCA_46000095.1,GCA_046000095.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/jackt/hprc/hprc2_gb23_production/GCA_046000095.1/GCA_046000095.1_mapping_stats.mapping_stats.txt,407,99.03,411,232,97.89,237,999,99.6,1003,7,36.84,19,33768,99.51,33935,1750,99.38,1761,2104,99.39,2117,9888,99.54,9934,18536,99.7,18592,4,100,4,51,100,476,99.79,477,51,8,100,8,5,100,5,1,100,1,48,100,48,1808,99.01,1826,893,99.67,896,250,100,250,3335,97.66,3415,4,100,4
GCA_46000115.1,GCA_046000115.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/jackt/hprc/hprc2_gb23_production/GCA_046000115.1/GCA_046000115.1_mapping_stats.mapping_stats.txt,316,76.89,411,153,64.56,237,1000,99.7,1003,7,36.84,19,33773,99.52,33935,1744,99.03,1761,2102,99.29,2117,9874,99.4,9934,18530,99.67,18592,4,100,4,49,96.08,476,99.79,477,51,8,100,8,5,100,5,1,100,1,48,100,48,1810,99.12,1826,896,100,896,250,100,250,3340,97.8,3415,3,75,4
GCA_46000005.1,GCA_046000005.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/jackt/hprc/hprc2_gb23_production/GCA_046000005.1/GCA_046000005.1_mapping_stats.mapping_stats.txt,376,91.48,411,223,94.09,237,989,98.6,1003,7,36.84,19,33675,99.23,33935,1749,99.32,1761,2102,99.29,2117,9847,99.12,9934,18446,99.21,18592,4,100,4,50,98.04,476,99.79,477,51,8,100,8,5,100,5,1,100,1,48,100,48,1809,99.07,1826,893,99.67,896,245,98,250,3304,96.75,3415,4,100,4
GCA_46000145.1,GCA_046000145.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/jackt/hprc/hprc2_gb23_production/GCA_046000145.1/GCA_046000145.1_mapping_stats.mapping_stats.txt,405,98.54,411,232,97.89,237,1003,100,1003,7,36.84,19,33789,99.57,33935,1754,99.6,1761,2102,99.29,2117,9885,99.51,9934,18514,99.58,18592,4,100,4,50,98.04,476,99.79,477,51,8,100,8,5,100,5,1,100,1,48,100,48,1811,99.18,1826,895,99.89,896,250,100,250,3322,97.28,3415,4,100,4
GCA_18852595.2,GCA_018852595.2_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/jackt/hprc/hprc2_gb23_production/GCA_018852595.2/GCA_018852595.2_mapping_stats.mapping_stats.txt,360,87.59,411,229,96.62,237,999,99.6,1003,7,36.84,19,33777,99.53,33935,1750,99.38,1761,2097,99.06,2117,9874,99.4,9934,18518,99.6,18592,4,100,4,49,96.08,476,99.79,477,51,8,100,8,5,100,5,1,100,1,47,97.92,48,1815,99.4,1826,895,99.89,896,250,100,250,3335,97.66,3415,4,100,4
GCA_42027545.1,GCA_042027545.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042027545.1/GCA_042027545.1_mapping_stats.mapping_stats.txt,372,90.51,411,228,96.2,237,1002,99.9,1003,7,36.84,19,33769,99.51,33935,1748,99.26,1761,2103,99.34,2117,9863,99.29,9934,18493,99.47,18592,4,100,4,50,98.04,475,99.58,477,51,8,100,8,5,100,5,1,100,1,47,97.92,48,1814,99.34,1826,894,99.78,896,250,100,250,3348,98.04,3415,4,100,4
GCA_42028805.1,GCA_042028805.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042028805.1/GCA_042028805.1_mapping_stats.mapping_stats.txt,342,83.21,411,210,88.61,237,1001,99.8,1003,7,36.84,19,33794,99.58,33935,1753,99.55,1761,2106,99.48,2117,9883,99.49,9934,18529,99.66,18592,4,100,4,49,96.08,477,100,477,51,8,100,8,5,100,5,1,100,1,48,100,48,1805,98.85,1826,895,99.89,896,249,99.6,250,3352,98.16,3415,4,100,4
GCA_42028835.1,GCA_042028835.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042028835.1_mapping_stats.mapping_stats.txt,379,92.21,411,231,97.47,237,1002,99.9,1003,7,36.84,19,33759,99.48,33935,1749,99.32,1761,2105,99.43,2117,9885,99.51,9934,18521,99.62,18592,3,75,4,48,94.12,476,99.79,477,51,8,100,8,5,100,5,1,100,1,46,95.83,48,1809,99.07,1826,895,99.89,896,249,99.6,250,3336,97.69,3415,4,100,4
GCA_42027475.1,GCA_042027475.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042027475.1_mapping_stats.mapping_stats.txt,400,97.32,411,233,98.31,237,1002,99.9,1003,7,36.84,19,33761,99.49,33935,1752,99.49,1761,2103,99.34,2117,9876,99.42,9934,18524,99.63,18592,4,100,4,50,98.04,475,99.58,477,51,8,100,8,5,100,5,1,100,1,48,100,48,1799,98.52,1826,894,99.78,896,250,100,250,3330,97.51,3415,4,100,4
GCA_42029915.1,GCA_042029915.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042029915.1_mapping_stats.mapping_stats.txt,316,76.89,411,153,64.56,237,1001,99.8,1003,7,36.84,19,33757,99.48,33935,1749,99.32,1761,2105,99.43,2117,9890,99.56,9934,18535,99.69,18592,4,100,4,50,98.04,476,99.79,477,51,8,100,8,5,100,5,1,100,1,47,97.92,48,1810,99.12,1826,896,100,896,249,99.6,250,3350,98.1,3415,4,100,4
GCA_42028795.1,GCA_042028795.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042028795.1_mapping_stats.mapping_stats.txt,341,82.97,411,210,88.61,237,1018,100,1018,7,36.84,19,34428,99.55,34584,1861,99.15,1877,2195,99.37,2209,10460,99.55,10507,19303,99.6,19381,4,100,4,53,100,488,99.8,489,53,8,100,8,5,100,5,1,100,1,48,97.96,49,1876,99.1,1893,938,99.89,939,258,99.61,259,3221,97.28,3311,4,100,4
GCA_42028645.1,GCA_042028645.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042028645.1_mapping_stats.mapping_stats.txt,382,92.94,411,227,95.78,237,1002,99.9,1003,7,36.84,19,33757,99.48,33935,1745,99.09,1761,2107,99.53,2117,9879,99.45,9934,18522,99.62,18592,4,100,4,50,98.04,476,99.79,477,51,8,100,8,5,100,5,1,100,1,48,100,48,1804,98.8,1826,895,99.89,896,249,99.6,250,3341,97.83,3415,4,100,4
GCA_42027595.1,GCA_042027595.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042027595.1_mapping_stats.mapping_stats.txt,388,94.4,411,229,96.62,237,1016,99.8,1018,7,36.84,19,34421,99.53,34584,1863,99.25,1877,2195,99.37,2209,10446,99.42,10507,19291,99.54,19381,4,100,4,52,98.11,487,99.59,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1869,98.73,1893,936,99.68,939,258,99.61,259,3227,97.46,3311,4,100,4
GCA_42028275.1,GCA_042028275.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042028275.1_mapping_stats.mapping_stats.txt,351,85.4,411,221,93.25,237,1014,99.61,1018,7,36.84,19,34425,99.54,34584,1865,99.36,1877,2192,99.23,2209,10439,99.35,10507,19312,99.64,19381,3,75,4,52,98.11,486,99.39,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1880,99.31,1893,937,99.79,939,258,99.61,259,3240,97.86,3311,4,100,4
GCA_42027505.1,GCA_042027505.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042027505.1_mapping_stats.mapping_stats.txt,380,92.46,411,216,91.14,237,1017,99.9,1018,7,36.84,19,34418,99.52,34584,1865,99.36,1877,2202,99.68,2209,10433,99.3,10507,19304,99.6,19381,4,100,4,53,100,488,99.8,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1870,98.78,1893,937,99.79,939,258,99.61,259,3222,97.31,3311,4,100,4
GCA_42028705.1,GCA_042028705.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/jackt/hprc/hprc2_gb23_production/GCA_042028705.1/GCA_042028705.1_mapping_stats.mapping_stats.txt,365,88.81,411,222,93.67,237,1016,99.8,1018,7,36.84,19,34428,99.55,34584,1862,99.2,1877,2194,99.32,2209,10449,99.45,10507,19316,99.66,19381,4,100,4,52,98.11,487,99.59,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1875,99.05,1893,938,99.89,939,259,100,259,3239,97.83,3311,4,100,4
GCA_42027455.1,GCA_042027455.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042027455.1_mapping_stats.mapping_stats.txt,388,94.4,411,228,96.2,237,1015,99.71,1018,7,36.84,19,34428,99.55,34584,1868,99.52,1877,2201,99.64,2209,10461,99.56,10507,19321,99.69,19381,3,75,4,52,98.11,489,100,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1872,98.89,1893,939,100,939,259,100,259,3248,98.1,3311,4,100,4
GCA_42030215.1,GCA_042030215.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042030215.1_mapping_stats.mapping_stats.txt,352,85.64,411,217,91.56,237,999,99.6,1003,7,36.84,19,33756,99.47,33935,1756,99.72,1761,2107,99.53,2117,9887,99.53,9934,18517,99.6,18592,4,100,4,49,96.08,476,99.79,477,51,8,100,8,5,100,5,1,100,1,47,97.92,48,1795,98.3,1826,895,99.89,896,249,99.6,250,3359,98.36,3415,4,100,4
GCA_42030135.1,GCA_042030135.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042030135.1_mapping_stats.mapping_stats.txt,386,93.92,411,230,97.05,237,1001,99.8,1003,7,36.84,19,33779,99.54,33935,1751,99.43,1761,2101,99.24,2117,9886,99.52,9934,18520,99.61,18592,4,100,4,51,100,476,99.79,477,51,8,100,8,5,100,5,1,100,1,47,97.92,48,1805,98.85,1826,894,99.78,896,250,100,250,3334,97.63,3415,4,100,4
GCA_42030125.1,GCA_042030125.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/jackt/hprc/hprc2_gb23_production/GCA_042030125.1/GCA_042030125.1_mapping_stats.mapping_stats.txt,312,75.91,411,150,63.29,237,1000,99.7,1003,7,36.84,19,33745,99.44,33935,1751,99.43,1761,2104,99.39,2117,9870,99.36,9934,18514,99.58,18592,4,100,4,49,96.08,475,99.58,477,51,8,100,8,5,100,5,1,100,1,48,100,48,1805,98.85,1826,895,99.89,896,250,100,250,3345,97.95,3415,4,100,4
GCA_42027485.1,GCA_042027485.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042027485.1_mapping_stats.mapping_stats.txt,401,97.57,411,232,97.89,237,1016,99.8,1018,7,36.84,19,34399,99.47,34584,1865,99.36,1877,2199,99.55,2209,10442,99.38,10507,19320,99.69,19381,4,100,4,51,96.23,488,99.8,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1879,99.26,1893,938,99.89,939,259,100,259,3214,97.07,3311,4,100,4
GCA_42027495.1,GCA_042027495.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/jackt/hprc/hprc2_gb23_production/GCA_042027495.1/GCA_042027495.1_mapping_stats.mapping_stats.txt,350,85.16,411,208,87.76,237,1016,99.8,1018,7,36.84,19,34432,99.56,34584,1863,99.25,1877,2195,99.37,2209,10453,99.49,10507,19301,99.59,19381,4,100,4,52,98.11,488,99.8,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1875,99.05,1893,937,99.79,939,258,99.61,259,3234,97.67,3311,4,100,4
GCA_42028475.1,GCA_042028475.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042028475.1_mapping_stats.mapping_stats.txt,391,95.13,411,234,98.73,237,1014,99.61,1018,7,36.84,19,34435,99.57,34584,1869,99.57,1877,2196,99.41,2209,10456,99.51,10507,19302,99.59,19381,4,100,4,53,100,487,99.59,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1870,98.78,1893,937,99.79,939,258,99.61,259,3228,97.49,3311,3,75,4
GCA_42027135.1,GCA_042027135.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042027135.1_mapping_stats.mapping_stats.txt,341,82.97,411,212,89.45,237,1017,99.9,1018,7,36.84,19,34405,99.48,34584,1867,99.47,1877,2195,99.37,2209,10439,99.35,10507,19302,99.59,19381,4,100,4,51,96.23,488,99.8,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1879,99.26,1893,935,99.57,939,259,100,259,3208,96.89,3311,4,100,4
GCA_42030115.1,GCA_042030115.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/jackt/hprc/hprc2_gb23_production/GCA_042030115.1/GCA_042030115.1_mapping_stats.mapping_stats.txt,353,85.89,411,208,87.76,237,1016,99.8,1018,7,36.84,19,34435,99.57,34584,1866,99.41,1877,2194,99.32,2209,10454,99.5,10507,19292,99.54,19381,4,100,4,53,100,488,99.8,489,53,8,100,8,5,100,5,1,100,1,48,97.96,49,1874,99,1893,937,99.79,939,259,100,259,3242,97.92,3311,4,100,4
GCA_42029935.1,GCA_042029935.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042029935.1_mapping_stats.mapping_stats.txt,371,90.27,411,226,95.36,237,1015,99.71,1018,7,36.84,19,34408,99.49,34584,1860,99.09,1877,2192,99.23,2209,10437,99.33,10507,19300,99.58,19381,4,100,4,52,98.11,487,99.59,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1877,99.15,1893,938,99.89,939,258,99.61,259,3209,96.92,3311,4,100,4
GCA_42028775.1,GCA_042028775.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042028775.1_mapping_stats.mapping_stats.txt,343,83.45,411,218,91.98,237,1000,99.7,1003,7,36.84,19,33750,99.45,33935,1749,99.32,1761,2096,99.01,2117,9876,99.42,9934,18517,99.6,18592,4,100,4,50,98.04,476,99.79,477,51,8,100,8,5,100,5,1,100,1,47,97.92,48,1815,99.4,1826,894,99.78,896,248,99.2,250,3334,97.63,3415,4,100,4
GCA_42030045.1,GCA_042030045.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/v2_missing_stats/GCA_042030045.1_mapping_stats.mapping_stats.txt,351,85.4,411,221,93.25,237,1001,99.8,1003,7,36.84,19,33771,99.52,33935,1750,99.38,1761,2102,99.29,2117,9885,99.51,9934,18525,99.64,18592,4,100,4,51,100,476,99.79,477,51,8,100,8,5,100,5,1,100,1,46,95.83,48,1802,98.69,1826,895,99.89,896,249,99.6,250,3327,97.42,3415,4,100,4
GCA_42030035.1,GCA_042030035.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042030035.1/GCA_042030035.1_mapping_stats.mapping_stats.txt,345,83.94,411,220,92.83,237,1002,99.9,1003,7,36.84,19,33762,99.49,33935,1748,99.26,1761,2103,99.34,2117,9863,99.29,9934,18505,99.53,18592,4,100,4,50,98.04,476,99.79,477,51,8,100,8,5,100,5,1,100,1,47,97.92,48,1803,98.74,1826,896,100,896,250,100,250,3323,97.31,3415,4,100,4
GCA_42029925.1,GCA_042029925.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042029925.1/GCA_042029925.1_mapping_stats.mapping_stats.txt,390,94.89,411,226,95.36,237,1017,99.9,1018,7,36.84,19,34443,99.59,34584,1871,99.68,1877,2200,99.59,2209,10450,99.46,10507,19298,99.57,19381,4,100,4,53,100,486,99.39,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1880,99.31,1893,938,99.89,939,258,99.61,259,3224,97.37,3311,4,100,4
GCA_42030025.1,GCA_042030025.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042030025.1/GCA_042030025.1_mapping_stats.mapping_stats.txt,393,95.62,411,235,99.16,237,998,99.5,1003,7,36.84,19,33739,99.42,33935,1752,99.49,1761,2103,99.34,2117,9858,99.23,9934,18515,99.59,18592,4,100,4,50,98.04,475,99.58,477,51,8,100,8,5,100,5,1,100,1,48,100,48,1809,99.07,1826,893,99.67,896,250,100,250,3313,97.01,3415,4,100,4
GCA_42027445.1,GCA_042027445.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042027445.1/GCA_042027445.1_mapping_stats.mapping_stats.txt,398,96.84,411,227,95.78,237,1017,99.9,1018,7,36.84,19,34411,99.5,34584,1870,99.63,1877,2194,99.32,2209,10442,99.38,10507,19289,99.53,19381,4,100,4,52,98.11,488,99.8,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1868,98.68,1893,939,100,939,257,99.23,259,3222,97.31,3311,4,100,4
GCA_42030055.1,GCA_042030055.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042030055.1/GCA_042030055.1_mapping_stats.mapping_stats.txt,388,94.4,411,229,96.62,237,1001,99.8,1003,7,36.84,19,33780,99.54,33935,1750,99.38,1761,2106,99.48,2117,9879,99.45,9934,18523,99.63,18592,4,100,4,48,94.12,476,99.79,477,51,8,100,8,5,100,5,1,100,1,47,97.92,48,1803,98.74,1826,895,99.89,896,250,100,250,3323,97.31,3415,4,100,4
GCA_42028725.1,GCA_042028725.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042028725.1/GCA_042028725.1_mapping_stats.mapping_stats.txt,339,82.48,411,199,83.97,237,1018,100,1018,7,36.84,19,34443,99.59,34584,1861,99.15,1877,2195,99.37,2209,10452,99.48,10507,19320,99.69,19381,4,100,4,53,100,488,99.8,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1869,98.73,1893,937,99.79,939,259,100,259,3243,97.95,3311,4,100,4
GCA_42028845.1,GCA_042028845.1_mapping_stats.mapping_stats.txt,/hps/nobackup/flicek/ensembl/genebuild/ftricomi//hprc/hprc2_gb67/GCA_042028845.1/GCA_042028845.1_mapping_stats.mapping_stats.txt,373,90.75,411,225,94.94,237,1016,99.8,1018,7,36.84,19,34417,99.52,34584,1869,99.57,1877,2196,99.41,2209,10454,99.5,10507,19290,99.53,19381,4,100,4,52,98.11,487,99.59,489,53,8,100,8,5,100,5,1,100,1,49,100,49,1877,99.15,1893,933,99.36,939,259,100,259,3222,97.31,3311,4,100,4
